"Sample","Date","DateNr","dDay1","dDay2","dDay3","Station","Area","31UE_ED50","31UN_ED50","Year","Month","Season","Salinity","Temperature","CHLFa"
"DANT.19910415",19910415,"4/15/1991",467,469,104,"DANT","WZ",681379.62,5920571.24,1991,4,"spring","29.690000000000001","12.6","12.199999999999999"
"DANT.19910515",19910515,"5/15/1991",497,499,134,"DANT","WZ",681379.62,5920571.24,1991,5,"spring","32.829999999999998","11.300000000000001","19.100000000000001"
"DANT.19910612",19910612,"33578",525,527,162,"DANT","WZ",681379.62,5920571.24,1991,6,"summer","32.82","13.800000000000001","25.100000000000001"
"DANT.19910710",19910710,"33518",553,555,190,"DANT","WZ",681379.62,5920571.24,1991,7,"summer","30.41","20.100000000000001","16"
"DANT.19910808",19910808,"33458",582,584,219,"DANT","WZ",681379.62,5920571.24,1991,8,"summer","31.859999999999999","20.899999999999999","20"
"DANT.19910909",19910909,"33490",614,616,251,"DANT","WZ",681379.62,5920571.24,1991,9,"autumn","33.280000000000001","17.300000000000001","4.2400000000000002"
"DANT.19911009",19911009,"33491",644,646,281,"DANT","WZ",681379.62,5920571.24,1991,10,"autumn","31.399999999999999","13.699999999999999","8.4000000000000004"
"DANT.19911125",19911125,"11/25/1991",691,693,328,"DANT","WZ",681379.62,5920571.24,1991,11,"autumn","30.390000000000001","5","6.2000000000000002"
"DANT.19911219",19911219,"12/19/1991",715,717,352,"DANT","WZ",681379.62,5920571.24,1991,12,"winter","25.309999999999999","3.8999999999999999","3.5"
"DANT.19920121",19920121,"1/21/1992",748,750,20,"DANT","WZ",681379.62,5920571.24,1992,1,"winter","30.690000000000001","1.8","1.04"
"DANT.19920219",19920219,"2/19/1992",777,779,49,"DANT","WZ",681379.62,5920571.24,1992,2,"winter","27.670000000000002","3.8999999999999999","2.3799999999999999"
"DANT.19920323",19920323,"3/23/1992",810,812,82,"DANT","WZ",681379.62,5920571.24,1992,3,"spring","27.149999999999999","6.7000000000000002","29.100000000000001"
"DANT.19920415",19920415,"4/15/1992",833,835,105,"DANT","WZ",681379.62,5920571.24,1992,4,"spring","28.550000000000001","8.5","18"
"DANT.19920428",19920428,"4/28/1992",846,848,118,"DANT","WZ",681379.62,5920571.24,1992,4,"spring","26.75","11.5","18.300000000000001"
"DANT.19920513",19920513,"5/13/1992",861,863,133,"DANT","WZ",681379.62,5920571.24,1992,5,"spring","24.02","12.1","15.4"
"DANT.19920526",19920526,"5/26/1992",874,876,146,"DANT","WZ",681379.62,5920571.24,1992,5,"spring","31.23","19.5","18"
"DANT.19920616",19920616,"6/16/1992",895,897,167,"DANT","WZ",681379.62,5920571.24,1992,6,"summer","32.740000000000002","20.399999999999999","28.600000000000001"
"DANT.19920624",19920624,"6/24/1992",903,905,175,"DANT","WZ",681379.62,5920571.24,1992,6,"summer","33.060000000000002","17.399999999999999","14.199999999999999"
"DANT.19920714",19920714,"7/14/1992",923,925,195,"DANT","WZ",681379.62,5920571.24,1992,7,"summer","29.969999999999999","18.5","31.600000000000001"
"DANT.19920728",19920728,"7/28/1992",937,939,209,"DANT","WZ",681379.62,5920571.24,1992,7,"summer","33.060000000000002","20.100000000000001","33.899999999999999"
"DANT.19920812",19920812,"33946",952,954,224,"DANT","WZ",681379.62,5920571.24,1992,8,"summer","32.090000000000003","18.800000000000001","31.199999999999999"
"DANT.19920826",19920826,"8/26/1992",966,968,238,"DANT","WZ",681379.62,5920571.24,1992,8,"summer","23.510000000000002","18.5","25"
"DANT.19920909",19920909,"33856",980,982,252,"DANT","WZ",681379.62,5920571.24,1992,9,"autumn","28.629999999999999","14.9","19.399999999999999"
"DANT.19920923",19920923,"9/23/1992",994,996,266,"DANT","WZ",681379.62,5920571.24,1992,9,"autumn","30.059999999999999","15.9","10.9"
"DANT.19921008",19921008,"33826",1009,1011,281,"DANT","WZ",681379.62,5920571.24,1992,10,"autumn","32.219999999999999","12.199999999999999","4.8200000000000003"
"DANT.19921111",19921111,"33919",1043,1045,315,"DANT","WZ",681379.62,5920571.24,1992,11,"autumn","27.16","8.1999999999999993","9.3000000000000007"
"DANT.19921209",19921209,"33859",1071,1073,343,"DANT","WZ",681379.62,5920571.24,1992,12,"winter","25.210000000000001","5.2999999999999998","13.4"
"DANT.19930121",19930121,"1/21/1993",1114,1116,20,"DANT","WZ",681379.62,5920571.24,1993,1,"winter","24.620000000000001","6.2000000000000002","17"
"DANT.19930208",19930208,"34183",1132,1134,38,"DANT","WZ",681379.62,5920571.24,1993,2,"winter","27.039999999999999","4.7999999999999998","8.1999999999999993"
"DANT.19930310",19930310,"34245",1162,1164,68,"DANT","WZ",681379.62,5920571.24,1993,3,"spring","31.25","4.2999999999999998","3.9199999999999999"
"DANT.19930407",19930407,"34154",1190,1192,96,"DANT","WZ",681379.62,5920571.24,1993,4,"spring","29.82","7.5","36.799999999999997"
"DANT.19930420",19930420,"4/20/1993",1203,1205,109,"DANT","WZ",681379.62,5920571.24,1993,4,"spring","24.260000000000002","10.5","39.5"
"DANT.19930511",19930511,"34278",1224,1226,130,"DANT","WZ",681379.62,5920571.24,1993,5,"spring","32.060000000000002","16.100000000000001","13.6"
"DANT.19930518",19930518,"5/18/1993",1231,1233,137,"DANT","WZ",681379.62,5920571.24,1993,5,"spring","32.640000000000001","14.800000000000001","41.799999999999997"
"DANT.19930603",19930603,"34034",1247,1249,153,"DANT","WZ",681379.62,5920571.24,1993,6,"summer","32.439999999999998","15.800000000000001","26.300000000000001"
"DANT.19930616",19930616,"6/16/1993",1260,1262,166,"DANT","WZ",681379.62,5920571.24,1993,6,"summer","31.66","16.5","18.699999999999999"
"DANT.19930630",19930630,"6/30/1993",1274,1276,180,"DANT","WZ",681379.62,5920571.24,1993,6,"summer","32.969999999999999","17.199999999999999","12.5"
"DANT.19930719",19930719,"7/19/1993",1293,1295,199,"DANT","WZ",681379.62,5920571.24,1993,7,"summer","32.700000000000003","18.300000000000001","29"
"DANT.19930729",19930729,"7/29/1993",1303,1305,209,"DANT","WZ",681379.62,5920571.24,1993,7,"summer","28.77","16.800000000000001","30.199999999999999"
"DANT.19930818",19930818,"8/18/1993",1323,1325,229,"DANT","WZ",681379.62,5920571.24,1993,8,"summer","26.690000000000001","18.600000000000001","31.899999999999999"
"DANT.19930827",19930827,"8/27/1993",1332,1334,238,"DANT","WZ",681379.62,5920571.24,1993,8,"summer","31.27","16.100000000000001","23.5"
"DANT.19930915",19930915,"9/15/1993",1351,1353,257,"DANT","WZ",681379.62,5920571.24,1993,9,"autumn","10.800000000000001","14.300000000000001","15"
"DANT.19930928",19930928,"9/28/1993",1364,1366,270,"DANT","WZ",681379.62,5920571.24,1993,9,"autumn","31.210000000000001","13.6","13"
"DANT.19931013",19931013,"10/13/1993",1379,1381,285,"DANT","WZ",681379.62,5920571.24,1993,10,"autumn","21.91","12.9","4.8399999999999999"
"DANT.19931117",19931117,"11/17/1993",1414,1416,320,"DANT","WZ",681379.62,5920571.24,1993,11,"autumn","26.460000000000001","5.4000000000000004","8.8000000000000007"
"DANT.19931221",19931221,"12/21/1993",1448,1450,354,"DANT","WZ",681379.62,5920571.24,1993,12,"winter","24.41","5.0999999999999996","15.1"
"DANT.19940126",19940126,"1/26/1994",1484,1486,25,"DANT","WZ",681379.62,5920571.24,1994,1,"winter","16.780000000000001","5.5","19.600000000000001"
"DANT.19940310",19940310,"34610",1527,1529,68,"DANT","WZ",681379.62,5920571.24,1994,3,"spring","21.640000000000001","5.2999999999999998","16.899999999999999"
"DANT.19940329",19940329,"3/29/1994",1546,1548,87,"DANT","WZ",681379.62,5920571.24,1994,3,"spring","27.030000000000001","7.9000000000000004","35.850000000000001"
"DANT.19940407",19940407,"34519",1555,1557,96,"DANT","WZ",681379.62,5920571.24,1994,4,"spring","18.129999999999999","7","48.100000000000001"
"DANT.19940425",19940425,"4/25/1994",1573,1575,114,"DANT","WZ",681379.62,5920571.24,1994,4,"spring","30.16","11.800000000000001","31.300000000000001"
"DANT.19940509",19940509,"34582",1587,1589,128,"DANT","WZ",681379.62,5920571.24,1994,5,"spring","29.84","13.300000000000001","29.800000000000001"
"DANT.19940526",19940526,"5/26/1994",1604,1606,145,"DANT","WZ",681379.62,5920571.24,1994,5,"spring","30.289999999999999","14.6","23.699999999999999"
"DANT.19940609",19940609,"34583",1618,1620,159,"DANT","WZ",681379.62,5920571.24,1994,6,"summer","27.25","15","26.649999999999999"
"DANT.19940622",19940622,"6/22/1994",1631,1633,172,"DANT","WZ",681379.62,5920571.24,1994,6,"summer","26.300000000000001","16.699999999999999","33.399999999999999"
"DANT.19940706",19940706,"34492",1645,1647,186,"DANT","WZ",681379.62,5920571.24,1994,7,"summer","30.109999999999999","20.600000000000001","13.199999999999999"
"DANT.19940720",19940720,"7/20/1994",1659,1661,200,"DANT","WZ",681379.62,5920571.24,1994,7,"summer","31.760000000000002","21.600000000000001","24.899999999999999"
"DANT.19940804",19940804,"34432",1674,1676,215,"DANT","WZ",681379.62,5920571.24,1994,8,"summer","32","23.600000000000001","23.300000000000001"
"DANT.19940822",19940822,"8/22/1994",1692,1694,233,"DANT","WZ",681379.62,5920571.24,1994,8,"summer","32.740000000000002","18.5","34.25"
"DANT.19940919",19940919,"9/19/1994",1720,1722,261,"DANT","WZ",681379.62,5920571.24,1994,9,"autumn","24.609999999999999","14.5","11"
"DANT.19941027",19941027,"10/27/1994",1758,1760,299,"DANT","WZ",681379.62,5920571.24,1994,10,"autumn","27.489999999999998","9","NA"
"DANT.19941117",19941117,"11/17/1994",1779,1781,320,"DANT","WZ",681379.62,5920571.24,1994,11,"autumn","19.050000000000001","9.3000000000000007","10.65"
"DANT.19941215",19941215,"12/15/1994",1807,1809,348,"DANT","WZ",681379.62,5920571.24,1994,12,"winter","18.559999999999999","7","2.02"
"DANT.19950117",19950117,"1/17/1995",1840,1842,16,"DANT","WZ",681379.62,5920571.24,1995,1,"winter","29.539999999999999","4.0999999999999996","8.5999999999999996"
"DANT.19950214",19950214,"2/14/1995",1868,1870,44,"DANT","WZ",681379.62,5920571.24,1995,2,"winter","18.719999999999999","6","10.9"
"DANT.19950315",19950315,"3/15/1995",1897,1899,73,"DANT","WZ",681379.62,5920571.24,1995,3,"spring","26.699999999999999","5.2000000000000002","11.800000000000001"
"DANT.19950407",19950407,"34884",1920,1922,96,"DANT","WZ",681379.62,5920571.24,1995,4,"spring","29.140000000000001","9.3000000000000007","32"
"DANT.19950515",19950515,"5/15/1995",1958,1960,134,"DANT","WZ",681379.62,5920571.24,1995,5,"spring","32.299999999999997","11.5","14.300000000000001"
"DANT.19950612",19950612,"35039",1986,1988,162,"DANT","WZ",681379.62,5920571.24,1995,6,"summer","26.82","13.800000000000001","35"
"DANT.19950714",19950714,"7/14/1995",2018,2020,194,"DANT","WZ",681379.62,5920571.24,1995,7,"summer","31.41","22.5","21.300000000000001"
"DANT.19950809",19950809,"34950",2044,2046,220,"DANT","WZ",681379.62,5920571.24,1995,8,"summer","32.469999999999999","19.899999999999999","22.800000000000001"
"DANT.19950824",19950824,"8/24/1995",2059,2061,235,"DANT","WZ",681379.62,5920571.24,1995,8,"summer","NA","NA","15.1"
"DANT.19950901",19950901,"34708",2067,2069,243,"DANT","WZ",681379.62,5920571.24,1995,9,"autumn","32.369999999999997","15.300000000000001","29.800000000000001"
"DANT.19951009",19951009,"34952",2105,2107,281,"DANT","WZ",681379.62,5920571.24,1995,10,"autumn","27.690000000000001","15","11.800000000000001"
"DANT.19951109",19951109,"34953",2136,2138,312,"DANT","WZ",681379.62,5920571.24,1995,11,"autumn","29.870000000000001","9.1999999999999993","4.7400000000000002"
"DANT.19951211",19951211,"35015",2168,2170,344,"DANT","WZ",681379.62,5920571.24,1995,12,"winter","30.210000000000001","-0.20000000000000001","4.6600000000000001"
"DANT.19960118",19960118,"1/18/1996",2206,2208,17,"DANT","WZ",681379.62,5920571.24,1996,1,"winter","30.859999999999999","0.5","3.1400000000000001"
"DANT.19960201",19960201,"35066",2220,2222,31,"DANT","WZ",681379.62,5920571.24,1996,2,"winter","NA","NA","NA"
"DANT.19960305",19960305,"35188",2253,2255,64,"DANT","WZ",681379.62,5920571.24,1996,3,"spring","31.440000000000001","1.3","3.2599999999999998"
"DANT.19960410",19960410,"35342",2289,2291,100,"DANT","WZ",681379.62,5920571.24,1996,4,"spring","31.550000000000001","5.5999999999999996","62.399999999999999"
"DANT.19960416",19960416,"4/16/1996",2295,2297,106,"DANT","WZ",681379.62,5920571.24,1996,4,"spring","31.370000000000001","7","12.6"
"DANT.19960502",19960502,"35100",2311,2313,122,"DANT","WZ",681379.62,5920571.24,1996,5,"spring","31.640000000000001","10.9","9.0999999999999996"
"DANT.19960514",19960514,"5/14/1996",2323,2325,134,"DANT","WZ",681379.62,5920571.24,1996,5,"spring","32.090000000000003","9.8000000000000007","22.399999999999999"
"DANT.19960530",19960530,"5/30/1996",2339,2341,150,"DANT","WZ",681379.62,5920571.24,1996,5,"spring","31.829999999999998","13.300000000000001","21.25"
"DANT.19960611",19960611,"35375",2351,2353,162,"DANT","WZ",681379.62,5920571.24,1996,6,"summer","32.149999999999999","19.600000000000001","25"
"DANT.19960627",19960627,"6/27/1996",2367,2369,178,"DANT","WZ",681379.62,5920571.24,1996,6,"summer","32.729999999999997","14.199999999999999","25.800000000000001"
"DANT.19960710",19960710,"35345",2380,2382,191,"DANT","WZ",681379.62,5920571.24,1996,7,"summer","28.91","15.699999999999999","26.600000000000001"
"DANT.19960730",19960730,"7/30/1996",2400,2402,211,"DANT","WZ",681379.62,5920571.24,1996,7,"summer","32.82","18.899999999999999","24.899999999999999"
"DANT.19960806",19960806,"35224",2407,2409,218,"DANT","WZ",681379.62,5920571.24,1996,8,"summer","26.100000000000001","18.899999999999999","29"
"DANT.19960828",19960828,"8/28/1996",2429,2431,240,"DANT","WZ",681379.62,5920571.24,1996,8,"summer","31.82","18.100000000000001","25.5"
"DANT.19960910",19960910,"35347",2442,2444,253,"DANT","WZ",681379.62,5920571.24,1996,9,"autumn","32.689999999999998","16.5","33.5"
"DANT.19960925",19960925,"9/25/1996",2457,2459,268,"DANT","WZ",681379.62,5920571.24,1996,9,"autumn","32.329999999999998","12.4","15.800000000000001"
"DANT.19961023",19961023,"10/23/1996",2485,2487,296,"DANT","WZ",681379.62,5920571.24,1996,10,"autumn","28.149999999999999","11.800000000000001","12.4"
"DANT.19961121",19961121,"11/21/1996",2514,2516,325,"DANT","WZ",681379.62,5920571.24,1996,11,"autumn","31.02","5.4000000000000004","6.7000000000000002"
"DANT.19961217",19961217,"12/17/1996",2540,2542,351,"DANT","WZ",681379.62,5920571.24,1996,12,"winter","22.469999999999999","4.2999999999999998","7.7999999999999998"
"DANT.19970130",19970130,"1/30/1997",2584,2586,29,"DANT","WZ",681379.62,5920571.24,1997,1,"winter","31.02","0.69999999999999996","4.9199999999999999"
"DANT.19970218",19970218,"2/18/1997",2603,2605,48,"DANT","WZ",681379.62,5920571.24,1997,2,"winter","26.77","3.8999999999999999","14.460000000000001"
"DANT.19970317",19970317,"3/17/1997",2630,2632,75,"DANT","WZ",681379.62,5920571.24,1997,3,"spring","27.940000000000001","7.2000000000000002","6.5800000000000001"
"DANT.19970401",19970401,"35434",2645,2647,90,"DANT","WZ",681379.62,5920571.24,1997,4,"spring","27.199999999999999","8.3000000000000007","27.600000000000001"
"DANT.19970414",19970414,"4/14/1997",2658,2660,103,"DANT","WZ",681379.62,5920571.24,1997,4,"spring","31.800000000000001","7.7999999999999998","22.559999999999999"
"DANT.19970429",19970429,"4/29/1997",2673,2675,118,"DANT","WZ",681379.62,5920571.24,1997,4,"spring","32.399999999999999","10.300000000000001","36.399999999999999"
"DANT.19970515",19970515,"5/15/1997",2689,2691,134,"DANT","WZ",681379.62,5920571.24,1997,5,"spring","28.899999999999999","13","25.219999999999999"
"DANT.19970528",19970528,"5/28/1997",2702,2704,147,"DANT","WZ",681379.62,5920571.24,1997,5,"spring","31.600000000000001","12.4","10.84"
"DANT.19970613",19970613,"6/13/1997",2718,2720,163,"DANT","WZ",681379.62,5920571.24,1997,6,"summer","31.699999999999999","18.600000000000001","13.039999999999999"
"DANT.19970630",19970630,"6/30/1997",2735,2737,180,"DANT","WZ",681379.62,5920571.24,1997,6,"summer","30.199999999999999","16.600000000000001","17.359999999999999"
"DANT.19970715",19970715,"7/15/1997",2750,2752,195,"DANT","WZ",681379.62,5920571.24,1997,7,"summer","31.800000000000001","22.199999999999999","13.960000000000001"
"DANT.19970728",19970728,"7/28/1997",2763,2765,208,"DANT","WZ",681379.62,5920571.24,1997,7,"summer","30.600000000000001","19.300000000000001","27.899999999999999"
"DANT.19970812",19970812,"35772",2778,2780,223,"DANT","WZ",681379.62,5920571.24,1997,8,"summer","31.899999999999999","23.300000000000001","19.300000000000001"
"DANT.19970826",19970826,"8/26/1997",2792,2794,237,"DANT","WZ",681379.62,5920571.24,1997,8,"summer","32.600000000000001","22.899999999999999","18.199999999999999"
"DANT.19970909",19970909,"35682",2806,2808,251,"DANT","WZ",681379.62,5920571.24,1997,9,"autumn","29.960000000000001","16.899999999999999","12.4"
"DANT.19970922",19970922,"9/22/1997",2819,2821,264,"DANT","WZ",681379.62,5920571.24,1997,9,"autumn","31.129999999999999","14.800000000000001","NA"
"DANT.19970923",19970923,"9/23/1997",2820,2822,265,"DANT","WZ",681379.62,5920571.24,1997,9,"autumn","NA","NA","22.399999999999999"
"DANT.19971007",19971007,"35621",2834,2836,279,"DANT","WZ",681379.62,5920571.24,1997,10,"autumn","32.729999999999997","14.699999999999999","9.0199999999999996"
"DANT.19971111",19971111,"35745",2869,2871,314,"DANT","WZ",681379.62,5920571.24,1997,11,"autumn","30.809999999999999","7.2999999999999998","8.0299999999999994"
"DANT.19971209",19971209,"35685",2897,2899,342,"DANT","WZ",681379.62,5920571.24,1997,12,"winter","30.039999999999999","4.5999999999999996","NA"
"DANT.19980106",19980106,"35947",2925,2927,5,"DANT","WZ",681379.62,5920571.24,1998,1,"winter","24.949999999999999","4.7000000000000002","17.800000000000001"
"DANT.19980205",19980205,"35917",2955,2957,35,"DANT","WZ",681379.62,5920571.24,1998,2,"winter","31.32","2.3999999999999999","6.2800000000000002"
"DANT.19980209",19980209,"36040",2959,2961,39,"DANT","WZ",681379.62,5920571.24,1998,2,"winter","NA","NA","10"
"DANT.19980306",19980306,"35949",2984,2986,64,"DANT","WZ",681379.62,5920571.24,1998,3,"spring","24.739999999999998","5.9000000000000004","12.6"
"DANT.19980324",19980324,"3/24/1998",3002,3004,82,"DANT","WZ",681379.62,5920571.24,1998,3,"spring","30.170000000000002","6.7999999999999998","18.199999999999999"
"DANT.19980403",19980403,"35858",3012,3014,92,"DANT","WZ",681379.62,5920571.24,1998,4,"spring","30.460000000000001","9.8000000000000007","39.200000000000003"
"DANT.19980421",19980421,"4/21/1998",3030,3032,110,"DANT","WZ",681379.62,5920571.24,1998,4,"spring","29.010000000000002","9.9000000000000004","57.600000000000001"
"DANT.19980506",19980506,"35951",3045,3047,125,"DANT","WZ",681379.62,5920571.24,1998,5,"spring","30.129999999999999","11.300000000000001","10.800000000000001"
"DANT.19980519",19980519,"5/19/1998",3058,3060,138,"DANT","WZ",681379.62,5920571.24,1998,5,"spring","31.059999999999999","16","10.220000000000001"
"DANT.19980602",19980602,"35832",3072,3074,152,"DANT","WZ",681379.62,5920571.24,1998,6,"summer","31.690000000000001","16.899999999999999","6.1200000000000001"
"DANT.19980617",19980617,"6/17/1998",3087,3089,167,"DANT","WZ",681379.62,5920571.24,1998,6,"summer","30.449999999999999","15.5","13.6"
"DANT.19980629",19980629,"6/29/1998",3099,3101,179,"DANT","WZ",681379.62,5920571.24,1998,6,"summer","26.760000000000002","17.699999999999999","41.399999999999999"
"DANT.19980715",19980715,"7/15/1998",3115,3117,195,"DANT","WZ",681379.62,5920571.24,1998,7,"summer","26.789999999999999","14.6","26.600000000000001"
"DANT.19980731",19980731,"7/31/1998",3131,3133,211,"DANT","WZ",681379.62,5920571.24,1998,7,"summer","26.48","17.100000000000001","53.600000000000001"
"DANT.19980814",19980814,"8/14/1998",3145,3147,225,"DANT","WZ",681379.62,5920571.24,1998,8,"summer","31.07","18.300000000000001","12.699999999999999"
"DANT.19980901",19980901,"35804",3163,3165,243,"DANT","WZ",681379.62,5920571.24,1998,9,"autumn","32.049999999999997","15.300000000000001","12.4"
"DANT.19980914",19980914,"9/14/1998",3176,3178,256,"DANT","WZ",681379.62,5920571.24,1998,9,"autumn","27.940000000000001","14.800000000000001","13.199999999999999"
"DANT.19980928",19980928,"9/28/1998",3190,3192,270,"DANT","WZ",681379.62,5920571.24,1998,9,"autumn","31.640000000000001","15.5","14.800000000000001"
"DANT.19981014",19981014,"10/14/1998",3206,3208,286,"DANT","WZ",681379.62,5920571.24,1998,10,"autumn","28.530000000000001","11","12.4"
"DANT.19981030",19981030,"10/30/1998",3222,3224,302,"DANT","WZ",681379.62,5920571.24,1998,10,"autumn","24.48","8.5","4.46"
"DANT.19981113",19981113,"11/13/1998",3236,3238,316,"DANT","WZ",681379.62,5920571.24,1998,11,"autumn","25.420000000000002","7.0999999999999996","3.7400000000000002"
"DANT.19981211",19981211,"36111",3264,3266,344,"DANT","WZ",681379.62,5920571.24,1998,12,"winter","30.25","2.1000000000000001","4.3600000000000003"
"DANT.19990111",19990111,"36465",3295,3297,10,"DANT","WZ",681379.62,5920571.24,1999,1,"winter","24.699999999999999","3.6000000000000001","9.0999999999999996"
"DANT.19990210",19990210,"36435",3325,3327,40,"DANT","WZ",681379.62,5920571.24,1999,2,"winter","29.280000000000001","3","3.25"
"DANT.19990223",19990223,"2/23/1999",3338,3340,53,"DANT","WZ",681379.62,5920571.24,1999,2,"winter","24.440000000000001","3.2000000000000002","15"
"DANT.19990310",19990310,"36436",3353,3355,68,"DANT","WZ",681379.62,5920571.24,1999,3,"spring","25.07","4.7999999999999998","12"
"DANT.19990329",19990329,"3/29/1999",3372,3374,87,"DANT","WZ",681379.62,5920571.24,1999,3,"spring","26.870000000000001","9","26"
"DANT.19990409",19990409,"36407",3383,3385,98,"DANT","WZ",681379.62,5920571.24,1999,4,"spring","24.25","9.9000000000000004","25.800000000000001"
"DANT.19990423",19990423,"4/23/1999",3397,3399,112,"DANT","WZ",681379.62,5920571.24,1999,4,"spring","28.100000000000001","11.300000000000001","34.799999999999997"
"DANT.19990510",19990510,"36438",3414,3416,129,"DANT","WZ",681379.62,5920571.24,1999,5,"spring","30.420000000000002","14.6","24.699999999999999"
"DANT.19990520",19990520,"5/20/1999",3424,3426,139,"DANT","WZ",681379.62,5920571.24,1999,5,"spring","31.140000000000001","15","18.600000000000001"
"DANT.19990608",19990608,"36378",3443,3445,158,"DANT","WZ",681379.62,5920571.24,1999,6,"summer","25.280000000000001","15.199999999999999","28.399999999999999"
"DANT.19990622",19990622,"6/22/1999",3457,3459,172,"DANT","WZ",681379.62,5920571.24,1999,6,"summer","29.609999999999999","16.800000000000001","26"
"DANT.19990707",19990707,"36348",3472,3474,187,"DANT","WZ",681379.62,5920571.24,1999,7,"summer","16.739999999999998","19.199999999999999","30.800000000000001"
"DANT.19990720",19990720,"7/20/1999",3485,3487,200,"DANT","WZ",681379.62,5920571.24,1999,7,"summer","30.09","21.5","23.399999999999999"
"DANT.19990804",19990804,"36258",3500,3502,215,"DANT","WZ",681379.62,5920571.24,1999,8,"summer","31.609999999999999","22.199999999999999","16.600000000000001"
"DANT.19990819",19990819,"8/19/1999",3515,3517,230,"DANT","WZ",681379.62,5920571.24,1999,8,"summer","30.609999999999999","17.100000000000001","15.800000000000001"
"DANT.19990902",19990902,"36200",3529,3531,244,"DANT","WZ",681379.62,5920571.24,1999,9,"autumn","31.18","18.800000000000001","15.199999999999999"
"DANT.19990920",19990920,"9/20/1999",3547,3549,262,"DANT","WZ",681379.62,5920571.24,1999,9,"autumn","31.870000000000001","17.300000000000001","8.2599999999999998"
"DANT.19991004",19991004,"36260",3561,3563,276,"DANT","WZ",681379.62,5920571.24,1999,10,"autumn","25.800000000000001","12.84","16.399999999999999"
"DANT.19991019",19991019,"10/19/1999",3576,3578,291,"DANT","WZ",681379.62,5920571.24,1999,10,"autumn","31.309999999999999","9.1899999999999995","13"
"DANT.19991118",19991118,"11/18/1999",3606,3608,321,"DANT","WZ",681379.62,5920571.24,1999,11,"autumn","30.699999999999999","6.2699999999999996","8.0800000000000001"
"DANT.19991217",19991217,"12/17/1999",3635,3637,350,"DANT","WZ",681379.62,5920571.24,1999,12,"winter","29.649999999999999","4.5599999999999996","2.6800000000000002"
"DANT.20000117",20000117,"1/17/2000",3666,3668,16,"DANT","WZ",681379.62,5920571.24,2000,1,"winter","23.210000000000001","4.1200000000000001","13.6"
"DANT.20000215",20000215,"2/15/2000",3695,3697,45,"DANT","WZ",681379.62,5920571.24,2000,2,"winter","26.09","4.8499999999999996","8.4000000000000004"
"DANT.20000301",20000301,"36528",3710,3712,60,"DANT","WZ",681379.62,5920571.24,2000,3,"spring","21.219999999999999","5.3399999999999999","11.800000000000001"
"DANT.20000314",20000314,"3/14/2000",3723,3725,73,"DANT","WZ",681379.62,5920571.24,2000,3,"spring","25.489999999999998","7.2800000000000002","14"
"DANT.20000328",20000328,"3/28/2000",3737,3739,87,"DANT","WZ",681379.62,5920571.24,2000,3,"spring","29.850000000000001","7.5899999999999999","21.600000000000001"
